"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.417399610E-1,-2.138026757E-3,-7.788525894E-3,-3.054323839E-3
4.438651690E-1,-4.581485875E-3,-7.788525894E-3,-1.832594397E-3
4.459903770E-1,-3.359756200E-3,-7.788525894E-3,6.108647794E-4
4.481155860E-1,-8.246674202E-3,-1.023198478E-2,-1.832594397E-3
4.502407420E-1,-5.803215317E-3,-1.145371422E-2,-6.719512399E-3
4.523660020E-1,-4.581485875E-3,-7.788525894E-3,-5.497782957E-3
4.544912110E-1,-5.803215317E-3,-1.023198478E-2,-3.054323839E-3
4.566164190E-1,-9.468403645E-3,-1.145371422E-2,-4.276053514E-3
4.587416270E-1,-8.246674202E-3,-1.756236330E-2,-3.054323839E-3
4.608668360E-1,-5.803215317E-3,-2.000582218E-2,-3.054323839E-3
4.629920440E-1,-2.138026757E-3,-1.756236330E-2,-4.276053514E-3
4.651172520E-1,-3.359756200E-3,-1.634063199E-2,-5.497782957E-3
4.672424610E-1,-3.359756200E-3,-5.345067009E-3,-4.276053514E-3
4.693676690E-1,-9.162971983E-4,1.053741761E-2,-4.276053514E-3
4.714928770E-1,3.054323897E-4,8.093958721E-3,-3.054323839E-3
4.736180330E-1,3.054323897E-4,-6.566796452E-3,-3.054323839E-3
4.757432940E-1,3.054323897E-4,-1.145371422E-2,-3.054323839E-3
4.778684500E-1,-9.162971983E-4,-1.145371422E-2,-4.276053514E-3
4.799936580E-1,-3.359756200E-3,-9.010255337E-3,-3.054323839E-3
4.821188670E-1,-4.581485875E-3,-4.581485991E-4,-1.832594397E-3
4.842440750E-1,-8.246674202E-3,3.207040019E-3,-6.108647794E-4
4.863692830E-1,-1.191186346E-2,-1.679878100E-3,-3.054323839E-3
4.884944920E-1,-1.313359290E-2,-6.566796452E-3,-3.054323839E-3
4.906197000E-1,-1.069013402E-2,-7.788525894E-3,-4.276053514E-3
4.927449080E-1,-1.191186346E-2,-1.511890348E-2,-3.054323839E-3
4.948701170E-1,-7.024944760E-3,-2.733619884E-2,-1.832594397E-3
4.969953250E-1,-5.803215317E-3,-2.855792828E-2,-3.054323839E-3
4.991205330E-1,-2.138026757E-3,-2.367101051E-2,-6.108647794E-4
5.012457420E-1,-3.359756200E-3,-2.244928107E-2,-4.276053514E-3
5.033709500E-1,3.054323897E-4,-1.267544460E-2,-4.276053514E-3
5.054961580E-1,-3.359756200E-3,3.207040019E-3,-1.832594397E-3
5.076213670E-1,-7.024944760E-3,1.985310577E-3,-3.054323839E-3
5.097465750E-1,-3.359756200E-3,-1.023198478E-2,-1.832594397E-3
5.118717830E-1,-2.138026757E-3,-1.756236330E-2,-1.832594397E-3
5.139969920E-1,-5.803215317E-3,-1.511890348E-2,-6.108647794E-4
5.161222000E-1,-1.069013402E-2,-9.010255337E-3,-3.054323839E-3
5.182474080E-1,-8.246674202E-3,-2.901607659E-3,-3.054323839E-3
5.203726170E-1,-7.024944760E-3,5.650499370E-3,-5.497782957E-3
5.224978250E-1,-5.803215317E-3,3.207040019E-3,-4.276053514E-3
5.246230330E-1,-7.024944760E-3,-1.023198478E-2,-6.719512399E-3
5.267482420E-1,-4.581485875E-3,-9.010255337E-3,-7.941242307E-3
5.288734500E-1,-7.024944760E-3,5.650499370E-3,-9.162971750E-3
5.309986580E-1,-9.468403645E-3,1.420260593E-2,-7.941242307E-3
5.331238670E-1,-7.024944760E-3,1.908952370E-2,-5.497782957E-3
5.352490750E-1,-5.803215317E-3,2.031125315E-2,-1.832594397E-3
5.373742310E-1,-9.468403645E-3,1.053741761E-2,-1.832594397E-3
5.394994920E-1,-3.359756200E-3,-9.010255337E-3,-4.276053514E-3
5.416246480E-1,-9.162971983E-4,-1.634063199E-2,-3.054323839E-3
5.437498560E-1,-9.468403645E-3,-9.010255337E-3,-3.054323839E-3
5.458750650E-1,-1.191186346E-2,-4.581485991E-4,-3.054323839E-3
5.480002730E-1,-1.069013402E-2,3.207040019E-3,-6.108647794E-4
5.501254810E-1,-9.468403645E-3,3.207040019E-3,6.108647794E-4
5.522506900E-1,-8.246674202E-3,-9.010255337E-3,-6.108647794E-4
5.543758980E-1,-7.024944760E-3,-2.855792828E-2,-3.054323839E-3
5.565011060E-1,-5.803215317E-3,-2.855792828E-2,-5.497782957E-3
5.586263150E-1,-7.024944760E-3,-1.389717404E-2,-5.497782957E-3
5.607515230E-1,-9.468403645E-3,1.985310577E-3,-5.497782957E-3
5.628767310E-1,-8.246674202E-3,8.093958721E-3,-3.054323839E-3
5.650019400E-1,-9.468403645E-3,5.650499370E-3,-3.054323839E-3
5.671271480E-1,-9.468403645E-3,-5.345067009E-3,-3.054323839E-3
5.692523560E-1,-7.024944760E-3,-9.010255337E-3,-6.719512399E-3
5.713775650E-1,-5.803215317E-3,-1.023198478E-2,-6.719512399E-3
5.735027730E-1,-1.069013402E-2,-7.788525894E-3,-5.497782957E-3
5.756279810E-1,-1.191186346E-2,-6.566796452E-3,-3.054323839E-3
5.777531900E-1,-8.246674202E-3,-4.123337101E-3,-3.054323839E-3
5.798783980E-1,-5.803215317E-3,-6.566796452E-3,-4.276053514E-3
5.820036060E-1,-5.803215317E-3,-9.010255337E-3,-6.719512399E-3
5.841288150E-1,-5.803215317E-3,-7.788525894E-3,-7.941242307E-3
5.862540230E-1,3.054323897E-4,8.093958721E-3,-6.719512399E-3
5.883792310E-1,-9.162971983E-4,1.175914705E-2,-6.719512399E-3
