"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.124051170E-1,2.249253243E-1,-3.062812984E-1,9.906285286E0
4.145303250E-1,2.297109663E-1,-6.221338734E-2,9.595218658E0
4.166555330E-1,3.876372576E-1,7.848458290E-1,9.279366493E0
4.187806900E-1,2.249253243E-1,9.427721500E-1,9.533005714E0
4.209058980E-1,4.785645287E-3,7.513462901E-1,9.801001549E0
4.230311060E-1,1.579262912E-1,8.757730722E-1,9.891928673E0
4.251563150E-1,3.972085714E-1,6.795616150E-1,1.005464077E1
4.272815230E-1,4.019941986E-1,4.259224236E-1,1.015035343E1
4.294067310E-1,2.392822653E-1,3.732803464E-1,9.963713646E0
4.315319400E-1,-2.249253243E-1,4.450650215E-1,9.810572624E0
4.336571480E-1,-5.024927258E-1,3.158525825E-1,9.877572060E0
4.357823560E-1,-4.115654826E-1,8.135596663E-2,9.987641335E0
4.379075650E-1,-1.914258152E-1,-1.004985496E-1,1.007856941E1
4.400327730E-1,7.178468257E-2,-1.148554832E-1,1.009292603E1
4.421579810E-1,1.435693540E-2,-1.387837082E-1,1.007856941E1
4.442831900E-1,-1.339980662E-1,1.627119333E-1,9.997213364E0
4.464083980E-1,-3.445664644E-1,8.518448472E-1,9.868000984E0
4.485336060E-1,-4.354937077E-1,1.019342422E0,9.925428391E0
4.506587630E-1,-2.440679073E-1,7.274180651E-1,1.002592659E1
4.527840230E-1,4.307080805E-2,7.944171429E-1,9.901499748E0
4.549092310E-1,1.962114573E-1,8.470591903E-1,9.872786522E0
4.570344400E-1,0.000000000E0,7.609176040E-1,1.004985523E1
4.591596480E-1,-3.637090325E-1,6.652047038E-1,1.025085258E1
4.612848560E-1,-7.130611539E-1,4.546363056E-1,1.035135078E1
4.634100650E-1,-7.178468108E-1,2.727817893E-1,1.047099209E1
4.655352730E-1,-3.206382394E-1,3.828516230E-2,1.051884842E1
4.676604810E-1,-1.531406492E-1,-1.387837082E-1,1.043749237E1
4.697856900E-1,-8.614161611E-2,-2.153540403E-1,1.020778179E1
4.719108980E-1,-1.387837082E-1,-2.249253243E-1,1.006421185E1
4.740360540E-1,-2.249253243E-1,2.871387079E-2,9.987641335E0
4.761613150E-1,-1.435693651E-1,4.067798555E-1,9.815358162E0
4.782864710E-1,-1.052841991E-1,5.312066078E-1,9.805787086E0
4.804116790E-1,2.871387079E-2,4.642075896E-1,9.777072906E0
4.825368880E-1,1.483550072E-1,7.848458290E-1,9.461220741E0
4.846620960E-1,4.785645381E-2,1.057627559E0,9.375079155E0
4.867873040E-1,-1.914258152E-1,1.033699393E0,9.499505997E0
4.889125130E-1,-4.642075896E-1,7.513462901E-1,9.590433121E0
4.910377210E-1,-4.881358147E-1,4.259224236E-1,9.657432556E0
4.931629290E-1,-2.105683982E-1,3.684946895E-1,9.834501266E0
4.952881380E-1,-2.392822690E-2,1.962114573E-1,1.006421185E1
4.974133460E-1,-9.571290761E-2,-1.004985496E-1,1.024128056E1
4.995385540E-1,-2.727817893E-1,-6.221338734E-2,1.035135078E1
5.016637630E-1,-3.924229145E-1,-2.297109663E-1,1.046620655E1
5.037889710E-1,-3.828516304E-1,-1.004985496E-1,1.020299530E1
5.059141790E-1,-8.135596663E-2,3.876372576E-1,9.877572060E0
5.080393880E-1,-9.571290761E-2,4.785645306E-1,9.853643417E0
5.101645960E-1,-1.962114573E-1,4.929214716E-1,9.801001549E0
5.122898040E-1,-1.818545163E-1,7.274180651E-1,9.652647018E0
5.144150130E-1,-2.727817893E-1,8.183453679E-1,9.734002113E0
5.165402210E-1,-3.972085714E-1,7.369893789E-1,9.901499748E0
5.186654290E-1,-4.594219327E-1,4.019941986E-1,9.930213928E0
5.207906380E-1,-4.881358147E-1,1.818545163E-1,9.887143135E0
5.229158460E-1,-4.498506486E-1,2.249253243E-1,1.000678444E1
5.250410540E-1,-4.402793646E-1,1.818545163E-1,1.025085258E1
5.271662630E-1,-4.689932466E-1,4.785645381E-2,1.030349445E1
5.292914710E-1,-1.818545163E-1,2.392822690E-2,1.022692394E1
5.314166790E-1,7.178468257E-2,-2.297109663E-1,1.019820976E1
5.335418880E-1,2.009970993E-1,1.196411327E-1,9.772287369E0
5.356670960E-1,1.818545163E-1,7.226324677E-1,9.384650230E0
5.377922520E-1,-4.785645381E-2,8.614161611E-1,9.523433685E0
5.399175130E-1,-2.105683982E-1,8.039883971E-1,9.600004196E0
5.420426690E-1,-2.057827413E-1,8.470591903E-1,9.494720459E0
5.441678770E-1,-2.871387079E-2,5.934200287E-1,9.619147301E0
5.462930860E-1,1.292124242E-1,3.493520916E-1,9.738788605E0
5.484182940E-1,6.221338734E-2,2.727817893E-1,9.647860527E0
5.505435020E-1,-1.435693651E-1,3.972085714E-1,9.590433121E0
5.526687110E-1,-2.727817893E-1,5.024927258E-1,9.824930191E0
5.547939190E-1,-3.206382394E-1,3.062812984E-1,1.015992451E1
5.569191270E-1,-2.201396823E-1,9.092725813E-2,1.023649502E1
5.590443360E-1,1.914258115E-2,-6.221338734E-2,1.021735287E1
5.611695440E-1,-3.828516230E-2,-5.742774159E-2,1.016949654E1
5.632947520E-1,-9.571290761E-2,3.206382394E-1,9.906285286E0
5.654199610E-1,-1.339980662E-1,7.752745152E-1,9.734002113E0
5.675451690E-1,-2.488535494E-1,9.044869542E-1,9.820143700E0
5.696703770E-1,-2.392822653E-1,7.322037220E-1,9.887143135E0
5.717955860E-1,4.785645287E-3,6.699903607E-1,9.734002113E0
5.739207940E-1,1.244267747E-1,6.460621357E-1,9.781859398E0
5.760460020E-1,-6.221338734E-2,6.508477330E-1,9.930213928E0
5.781712110E-1,-4.689932466E-1,6.604190469E-1,1.002592659E1
5.802964190E-1,-7.178468108E-1,5.742774606E-1,1.014078236E1
5.824216270E-1,-6.317051649E-1,3.732803464E-1,1.031306553E1
5.845468360E-1,-3.445664644E-1,-6.221338734E-2,1.042792130E1
