"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.290899040E-1,-1.004985496E-1,9.092726111E-1,9.824930191E0
4.312150080E-1,-2.344966233E-1,1.182054400E0,9.638289452E0
4.333401120E-1,-2.105683982E-1,1.373480201E0,9.399007797E0
4.354652160E-1,-2.871387079E-2,1.694118381E0,9.891928673E0
4.375903200E-1,-3.254238665E-1,1.253839016E0,1.031306553E1
4.397154240E-1,-1.627119333E-1,8.231309652E-1,1.022692394E1
4.418405810E-1,3.589234054E-1,8.614161611E-1,1.033220863E1
4.439656850E-1,1.148554832E-1,7.034898400E-1,1.013599682E1
4.460907890E-1,-2.297109663E-1,1.225125194E0,9.662218094E0
4.482158930E-1,-2.440679073E-1,1.086341500E0,9.255437851E0
4.503409970E-1,-4.498506486E-1,1.138983607E0,9.250652313E0
4.524661020E-1,-3.397808075E-1,1.593619823E0,9.513862610E0
4.545912580E-1,-9.571290575E-3,1.229910851E0,9.652647018E0
4.567163620E-1,6.077769399E-1,7.944171429E-1,9.801001549E0
4.588414660E-1,6.460621357E-1,2.727817893E-1,9.968499184E0
4.609665700E-1,3.397808075E-1,6.460621357E-1,9.930213928E0
4.630916740E-1,-5.264209956E-2,1.258624673E0,9.834501266E0
4.652167790E-1,-8.135596663E-2,1.186840057E0,9.729216576E0
4.673418830E-1,3.828516230E-2,8.183453679E-1,9.633503914E0
4.694670390E-1,3.349951655E-2,1.201196909E0,9.542576790E0
4.715921430E-1,-2.009970993E-1,1.603191137E0,9.456435204E0
4.737172470E-1,0.000000000E0,1.387837172E0,9.786644936E0
4.758423520E-1,9.571290761E-2,8.853443861E-1,1.003549862E1
4.779674560E-1,1.148554832E-1,5.982056856E-1,9.949356079E0
4.800926120E-1,3.493520916E-1,9.667003751E-1,9.906285286E0
4.822177160E-1,4.163511395E-1,8.901300430E-1,9.853643417E0
4.843428200E-1,-1.627119333E-1,9.475577474E-1,9.619147301E0
4.864679240E-1,7.657032460E-2,1.009771109E0,9.738788605E0
4.885930290E-1,-8.709874153E-1,1.344766378E0,9.757930756E0
4.907181330E-1,8.135596663E-2,1.698904037E0,9.939785004E0
4.928432890E-1,3.637090325E-1,9.810572863E-1,1.002592659E1
4.949683410E-1,7.944171429E-1,6.269195080E-1,1.023170948E1
4.970934970E-1,7.609176040E-1,6.317051649E-1,1.020778179E1
4.992186020E-1,3.780659735E-1,1.129412293E0,1.042792130E1
5.013437060E-1,-5.264209956E-2,1.081555843E0,9.992427826E0
5.034688100E-1,-4.785645381E-2,7.465606928E-1,9.332008362E0
5.055939140E-1,-6.699903309E-2,8.518448472E-1,9.107083321E0
5.077190180E-1,-3.637090325E-1,1.186840057E0,9.035298347E0
5.098441740E-1,-9.571290761E-2,1.756331801E0,9.217152596E0
5.119692790E-1,1.196411327E-1,1.043270707E0,9.652647018E0
5.140943830E-1,2.392822690E-2,6.029912829E-1,1.017906761E1
5.162194870E-1,1.627119333E-1,6.987041831E-1,1.006421185E1
5.183445910E-1,5.264210105E-1,1.071984529E0,9.743574142E0
5.204696950E-1,2.249253243E-1,7.944171429E-1,9.403793335E0
5.225948520E-1,2.775674164E-1,8.422735929E-1,9.341579437E0
5.247199560E-1,5.264209956E-2,1.325623751E0,9.485149384E0
5.268450600E-1,-4.307080805E-2,1.655833244E0,9.633503914E0
5.289701640E-1,1.148554832E-1,1.091127157E0,9.820143700E0
5.310952680E-1,7.130611539E-1,9.092726111E-1,9.767501831E0
5.332203720E-1,4.115654826E-1,6.317051649E-1,9.657432556E0
5.353455290E-1,9.092725813E-2,3.684946895E-1,9.968499184E0
5.374706330E-1,1.004985496E-1,9.523434043E-1,1.008335495E1
5.395957370E-1,-2.105683982E-1,9.188438654E-1,9.729216576E0
5.417208410E-1,9.571290761E-2,8.183453679E-1,9.394221306E0
5.438459450E-1,1.435693540E-2,1.158126116E0,9.442078590E0
5.459710490E-1,-1.962114573E-1,1.450050473E0,9.399007797E0
5.480961540E-1,-4.259224236E-1,1.507478237E0,9.772287369E0
5.502213100E-1,1.148554832E-1,1.148554921E0,1.029870892E1
